Date,Location,Link,lat,long
4/16/17,"E 130th St & S Evans Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170416-story.html,41.65913969,-87.60339998
3/5/17,"13000 S Indiana Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170305-story.html,41.66127777,-87.61779022
4/19/17,"12800 S Lowe Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170420-story.html,41.66128159,-87.6381073
1/20/17,"12300 S Wallace St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-off-duty-robbins-police-officer-fatally-shoots-person-on-far-south-side-20170120-story.html,41.67045057,-87.63691083
6/16/17,"12300 S Yale Ave, Chicago, IL 60628",,41.67051,-87.62877
3/25/17,"12200 S Carpenter St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170325-story.html,41.67211914,-87.64816284
3/25/17,"12200 S Green St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170325-story.html,41.67221144,-87.64299408
4/29/17,"12100 S Eggleston Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170429-story.html,41.67409,-87.63371
2/6/17,"12100 S Wentworth Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170206-story.html,41.67414474,-87.62770081
2/6/17,"12100 S Wentworth Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170206-story.html,41.67414474,-87.62770081
5/5/17,"12000 S Normal Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170505-story.html,41.67595,-87.63496
5/13/17,"12000 S Lafayette Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170513-story.html,41.67605,-87.62415
1/1/17,"12000 S State St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/-ct-new-years-eve-police-shooting-20170101-story.html?utm_source=dlvr.it&utm_medium=twitter,41.67606108,-87.62265421
1/17/17,"300 E 120th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-shooting-violence-20170117-story.html,41.67633466,-87.61634633
3/12/17,"11900 S Lowe Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-man-seeks-medical-help-day-after-shooting-20170314-story.html,41.67771198,-87.63832636
4/23/17,"11900 S Loomis St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170422-story.html,41.67790388,-87.65657617
5/10/17,"400 W 119th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170510-story.html,41.67796343,-87.63244428
5/20/17,"300 E 118th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170520-story.html,41.6802,-87.61647
5/20/17,"300 E 118th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170520-story.html,41.6802,-87.61647
4/1/17,"11720 S Normal Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170401-story.html,41.68086243,-87.63511658
6/10/17,"100 E 117th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170609-story.html,41.68160497,-87.62042637
5/28/17,"11700 S Wallace St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-memorial-day-weekend-shootings-violence-20170528-story.html,41.68175204,-87.63727677
2/1/17,"900 W 116th Pl, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violoence-20170201-story.html,41.68242462,-87.64482401
4/10/17,"11604 S Bishop St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-shootings-violence-20170410-story.html,41.68283844,-87.6582489
4/10/17,"11604 S Bishop St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-shootings-violence-20170410-story.html,41.68291855,-87.6582489
3/16/17,"11600 S Morgan St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170316-story.html,41.68307371,-87.64700532
3/10/17,"11600 S Yale Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170310-story.html,41.6832962,-87.62917328
4/10/17,"11600 S Wallace St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-shootings-violence-20170410-story.html,41.68392196,-87.6373259
5/3/17,"11500 S Hale Ave, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170503-story.html,41.68446,-87.67274
2/17/17,"300 E Kensington Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170217-story.html,41.68447876,-87.61656952
5/29/17,"I-57 N & W 115th St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-memorial-day-weekend-shootings-violence-20170528-story.html,41.684825,-87.661795
5/29/17,"I-57 N & W 115th St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-memorial-day-weekend-shootings-violence-20170528-story.html,41.684825,-87.661795
2/28/17,"11500 S LaSalle St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170228-story.html,41.68514036,-87.62656823
6/25/17,"11500 S Perry Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170625-story.html,41.68516178,-87.62539562
2/13/17,"11500 S Indiana Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170212-story.html,41.68523893,-87.61809111
2/22/17,"11400 S Ada St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-man-61-found-shot-dead-in-garage-in-south-lawndale-20170222-story.html,41.68657303,-87.65592957
1/10/17,"11400 S Vincennes Ave, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170110-story.html,41.68669891,-87.66701508
2/3/17,"11400 S Stewart Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170203-story.html,41.68688178,-87.63260521
3/20/17,"E 113th Pl & S State St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20170320-story.html,41.68804048,-87.62297124
6/6/17,"11300 S Normal Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-story.html,41.68867178,-87.63506565
6/13/17,"21 E 113th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170612-story.html,41.6887,-87.62213
1/1/17,"11200 S Longwood Dr, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20161231-story.html,41.6897583,-87.67268372
1/1/17,"11200 S Longwood Dr, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20161231-story.html,41.6897583,-87.67268372
1/1/17,"11200 S Longwood Dr, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20161231-story.html,41.6897583,-87.67268372
6/23/17,"11200 S Wentworth Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170622-story.html,41.69057028,-87.62789845
4/10/17,"100 E 112th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-shootings-violence-20170410-story.html,41.69083871,-87.62083836
1/9/17,"200 W 111th Pl, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-shooting-violence-20170109-story.html,41.69166349,-87.62807429
2/3/17,"11200 S Avenue G, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170203-story.html,41.69169232,-87.53170051
4/8/17,"11100 S Union Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20170408-story.html,41.69225022,-87.64000073
3/29/17,11100 S. Parnell Ave.,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170329-story.html,41.6922918,-87.63638712
1/17/17,"100 W 111th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-shooting-violence-20170117-story.html,41.6928215,-87.6260376
2/5/17,"32 W 110th Pl, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170204-story.html,41.69374084,-87.62435913
3/29/17,"11027 S Edbrooke Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170329-story.html,41.69429205,-87.61955693
1/19/17,"11000 S Ewing Ave, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-man-seriously-wounded-in-shooting-in-englewood-20170119-story.html,41.69533275,-87.53532015
3/22/17,"10900 S Eggleston Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170322-story.html,41.69596481,-87.63439941
5/12/17,"200 E 109th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170512-story.html,41.69634658,-87.6181715
2/7/17,"300 W 109th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170207-story.html,41.696403,-87.630599
5/26/17,"400 E 109th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170526-story.html,41.69663,-87.61324
2/5/17,"1200 W 108th Pl, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/-chicago-shootings-violence-20170205-story.html,41.69704819,-87.65242004
2/26/17,"10900 S Mackinaw Ave, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170225-story.html,41.69720078,-87.54291534
1/26/17,"1200 W 108th St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-teenage-boy-seriously-wounded-in-south-side-shooting-20170126-story.html,41.69796371,-87.65245056
4/8/17,"10800 S Hoxie Ave, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170408-story-story.html,41.69902039,-87.56110382
4/8/17,"10800 S Hoxie Ave, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170408-story-story.html,41.69902039,-87.56110382
4/18/17,"10720 S Indiana Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170418-story.html,41.69929123,-87.6187973
4/9/17,"10748 S Green Bay Ave, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170409-story.html,41.69954,-87.54169
4/23/17,"1300 W 107th St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170423-story.html,41.69977,-87.65496
5/21/17,"10700 S Cottage Grove Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170521-story.html,41.699931,-87.60828669
5/21/17,"10700 S Cottage Grove Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170521-story.html,41.699931,-87.60828669
4/11/17,"500 W 107th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170411-story.html,41.6999855,-87.63557434
4/11/17,"500 W 107th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170411-story.html,41.6999855,-87.63557434
5/5/17,10635 S. State Street,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170504-story.html,41.70068,-87.62298
5/14/17,"10623 S Parnell Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170514-story.html,41.70079,-87.63624
6/21/17,"300 W 106th Pl, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170621-story.html,41.70096,-87.63065
4/12/17,"2400 E 107th St, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-man-seriously-wounded-in-shooting-in-austin-neighborhood-20170412-story.html,41.70097478,-87.56426521
2/7/17,"10600 S Avenue J, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170207-story.html,41.70260422,-87.53413595
2/24/17,"10600 S Hoxie Ave, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170224-story.html,41.70263171,-87.56085679
6/14/17,"10500 S Vincennes Ave, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-man-shot-in-east-beverly-wednesday-morning-20170614-story.html,41.70297,-87.6578
1/13/17,"10500 S Sangamon St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-man-seriously-wounded-in-west-side-shooting-20170113-story.html,41.70308304,-87.64670563
6/7/17,"10500 S Wentworth Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170607-story.html,41.70331,-87.6285
5/13/17,"10501 S Lafayette Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170513-story.html,41.70335,-87.62492
5/3/17,"1100 W 105th St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170503-story.html,41.70348,-87.6502
1/21/17,"33 W 104th Pl, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170121-story.html,41.70415115,-87.62480927
5/22/17,"10500 S Avenue E, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170521-story.html,41.7044,-87.52956
3/2/17,"10400 S Wallace St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170302-story.html,41.70511946,-87.6379703
4/30/17,"10600 S Green Bay Ave, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170429-story.html,41.7053,-87.54258
5/30/17,"10400 S Vernon Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence20170530-story.html,41.70536,-87.61283
6/16/17,"50 E 104th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-violence-chicago-shootings-20170616-story.html,41.70540497,-87.6214842
1/7/17,"10300 S Western Ave, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170107-story.html,41.70624197,-87.68167689
5/30/17,"1027 W 103rd St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence20170530-story.html,41.7066,-87.6488
5/9/17,"10300 S Vernon Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170509-story.html,41.70720214,-87.61258724
2/20/17,"10300 S Vernon Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170220-story.html,41.7072022,-87.61258721
2/10/17,"10300 S Corliss Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170210-story.html,41.70732117,-87.60438538
2/10/17,"10300 S Corliss Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170210-story.html,41.70732117,-87.60438538
5/17/17,"10240 S State St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-fernwood-homicide-identified-20170519-story.html,41.70778,-87.62389
3/17/17,"10228 S Calumet Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170317-story.html,41.70822144,-87.61536407
4/30/17,"10200 S Princeton Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170430-story.html,41.70877,-87.63109
5/11/17,"10139 S La Salle St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170511-story.html,41.70961,-87.62682
1/11/17,"10100 S Parnell Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170110-story.html,41.71048355,-87.63720703
6/18/17,"10100 S Wentworth Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170617-story.html,41.7106,-87.62874
3/6/17,"10100 S Indiana Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170306-story.html,41.71073914,-87.61906433
5/8/17,"10100 S Avenue N, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170508-story.html,41.71179285,-87.53897024
6/1/17,"10000 S Wentworth Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-tribune-violence-20170531-story.html,41.7124,-87.62878
2/21/17,"10000 S Michigan Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170221-story.html,41.712551,-87.620513
4/21/17,"300 W 99th Pl, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170421-story.html,41.71349023,-87.63105568
4/17/17,"9900 S Halsted St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170417-story.html,41.71392441,-87.64341736
1/1/17,"9900 S Halsted St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170101-story.html,41.71392441,-87.64341736
6/2/17,"1400 W 99th St, Chicago, IL 60643",,41.7143,-87.65768
5/7/17,"9800 S Harvard Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-woman-stabbed-shot-in-head-in-apparent-domestic-attack-20170507-story.html,41.71601,-87.63268
3/31/17,"9800 S Wentworth Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170331-story.html,41.71640083,-87.62862012
2/18/17,"9800 S Oglesby Ave, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170218-story.html,41.71643829,-87.56596375
5/22/17,"9800 S Hoxie Ave, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170522-story.html,41.71665506,-87.56113096
5/29/17,"9755 S Wallace St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-memorial-day-weekend-shootings-violence-20170529-story.html,41.71734003,-87.63817308
4/15/17,"9700 S Genoa Ave, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170415-story.html,41.71735764,-87.65119934
5/17/17,"9703 S Morgan St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170516-story.html,41.71738436,-87.64786683
1/24/17,"9735 S Woodlawn Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170124-story.html,41.71761703,-87.59429169
5/23/17,"9822 S Avenue H, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170522-story.html,41.71766,-87.53318
4/23/17,"9700 S Yale Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170423-story.html,41.71787,-87.63011
4/23/17,"9700 S Yale Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170423-story.html,41.71787,-87.63011
4/28/17,"9656 S Wentworth Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-longwood-manor-homicide-identified-20170504-story.html,41.71816,-87.62891
4/28/17,"9656 S Wentworth Ave, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-longwood-manor-homicide-identified-20170504-story.html,41.71816,-87.62891
2/4/17,"2152 E 97th St, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170203-story.html,41.71891071,-87.57206574
1/22/17,"9600 S Peoria St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170121-story.html,41.71915817,-87.64592743
3/7/17,"9700 S Avenue L, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20170307-story.html,41.71939468,-87.53684235
4/15/17,"9600 S Exchange Ave, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170415-story.html,41.72078222,-87.55246751
2/27/17,"9500 S Bishop St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170227-story.html,41.72105715,-87.65915103
4/30/17,"1100 W 97th St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170430-story.html,41.721215,-87.65299024
5/20/17,"1400 W 95th St, Chicago, IL 60643",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170520-story.html,41.72156,-87.65804
1/1/17,"9500 S State St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20161231-story.html,41.72157146,-87.62378275
3/11/17,"9501 S State St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170311-story.html,41.72157481,-87.62366205
1/15/17,"600 W 95th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170115-story.html,41.72163181,-87.63851479
6/2/17,"242 W 95th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170602-story.html,41.72175154,-87.63042348
4/30/17,"400 E 95th St, Chicago, IL 60619",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170430-story.html,41.72193886,-87.61395804
5/14/17,"100 W 95th St, Chicago, IL 60628",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170513-story.html,41.72198,-87.62653
1/25/17,"1100 E 95th St, Chicago, IL 60619",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170125-story.html,41.72221653,-87.59701699
3/30/17,"1500 E 95th St, Chicago, IL 60619",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170330-story.html,41.72236875,-87.58744687
3/25/17,"1500 E 95th St, Chicago, IL 60619",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170325-story.html,41.72236875,-87.58744687
4/10/17,"9443 S Forest Ave, Chicago, IL 60619",http://www.chicagotribune.com/news/local/breaking/ct-man-shot-dead-woman-wounded-in-roseland-neighborhood-20170410-story.html,41.72241592,-87.6162262
4/10/17,"9443 S Forest Ave, Chicago, IL 60619",http://www.chicagotribune.com/news/local/breaking/ct-man-shot-dead-woman-wounded-in-roseland-neighborhood-20170410-story.html,41.72241592,-87.6162262
5/9/17,"2341 E 95th St, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170509-story.html,41.72256072,-87.56673945
5/9/17,"2341 E 95th St, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170509-story.html,41.72256072,-87.56673945
2/19/17,"9500 S Houston Ave, Chicago, IL 60617",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170219-story.html,41.72266245,-87.54971959
4/26/17,"9400 S Perry Ave, Chicago, IL 60620",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170426-story.html,41.72327,-87.62662
1/12/17,"9400 S Wentworth Ave, Chicago, IL 60620",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170112-story.html,41.72335245,-87.62874015
6/14/17,"9400 S St Lawrence Ave, Chicago, IL 60619",http://www.chicagotribune.com/news/local/breaking/ct-man-shot-in-east-beverly-wednesday-morning-20170614-story.html,41.72363,-87.60968
4/23/17,"9400 S Harvard Ave, Chicago, IL 60620",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170423-story.html,41.72414,-87.63228
3/22/17,"9300 S LaSalle St, Chicago, IL 60620",http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20170321-story.html,41.725189,-87.627891
4/9/17,"9200 S Dr Martin Luther King Jr Dr, Chicago, IL 60619",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170409-story.html,41.72687,-87.61461
1/1/17,"9200 S Parnell Ave, Chicago, IL 60620",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20161231-story.html,41.72688675,-87.63764954
6/19/17,"9200 S Indiana Ave, Chicago, IL 60619",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170619-story.html,41.72716,-87.61951
6/19/17,"9200 S Indiana Ave, Chicago, IL 60619",http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170619-story.html,41.72716,-87.61951
